MM_MUNI_NAME,USE_CODE_STD,count_observations,with_0ba,with_0br,with_0units
ALAMEDA,RCON,4645,1.0,0.00968783638320775,0.26393972012917116
ALAMEDA,RDUP,739,1.0,0.03924221921515562,0.006765899864682003
ALAMEDA,RMFD,147,1.0,0.05442176870748299,0.0
ALAMEDA,RMOB,19,1.0,0.0,0.21052631578947367
ALAMEDA,RMSC,8,1.0,0.0,0.0
ALAMEDA,RQUA,267,1.0,0.011235955056179775,0.00749063670411985
ALAMEDA,RSFR,14360,1.0,0.0052924791086350976,0.06594707520891364
ALAMEDA,RTRI,154,1.0,0.032467532467532464,0.01948051948051948
CONTRA COSTA,RAPT,31,1.0,1.0,0.06451612903225806
CONTRA COSTA,RCON,3161,1.0,0.008857956342929452,0.20499841822208162
CONTRA COSTA,RDUP,226,1.0,0.035398230088495575,0.02654867256637168
CONTRA COSTA,RMFD,24,1.0,0.25,0.75
CONTRA COSTA,RMSC,51,1.0,0.6274509803921569,0.3137254901960784
CONTRA COSTA,RQUA,102,1.0,0.9901960784313726,0.0
CONTRA COSTA,RSFR,18007,1.0,0.0016104848114622092,0.1562725606708502
CONTRA COSTA,RTRI,41,1.0,0.9512195121951219,0.0
MARIN,RCON,625,1.0,0.0032,0.0224
MARIN,RMFD,66,1.0,0.030303030303030304,0.8333333333333334
MARIN,RSFR,1725,1.0,0.0,0.04173913043478261
NAPA,RAPT,32,0.5,0.21875,0.21875
NAPA,RCON,103,0.4854368932038835,0.009708737864077669,0.08737864077669903
NAPA,RMSC,145,0.6137931034482759,0.06206896551724138,0.9517241379310345
NAPA,RSFR,1309,0.4904507257448434,0.03132161955691368,0.20855614973262032
SAN FRANCISCO,RAPT,400,1.0,0.7525,0.26
SAN FRANCISCO,RCON,2994,0.998997995991984,0.20774883099532399,0.6112224448897795
SAN FRANCISCO,RCOO,2,1.0,0.0,1.0
SAN FRANCISCO,RDUP,420,1.0,0.7047619047619048,0.030952380952380953
SAN FRANCISCO,RMFD,2,1.0,0.0,0.0
SAN FRANCISCO,RSFR,2364,1.0,0.3371404399323181,0.008883248730964468
SAN FRANCISCO,RTIM,2,1.0,0.5,0.0
SAN MATEO,RCON,1429,1.0,0.03848845346396081,0.25192442267319803
SAN MATEO,RCOO,9,1.0,0.0,1.0
SAN MATEO,RDUP,88,0.022727272727272728,0.011363636363636364,0.045454545454545456
SAN MATEO,RMFD,73,0.1095890410958904,0.0136986301369863,0.2602739726027397
SAN MATEO,RMSC,2,1.0,0.0,0.5
SAN MATEO,RQUA,33,0.0,0.0,0.0
SAN MATEO,RSFR,4796,0.9893661384487072,0.0,0.033152627189324435
SAN MATEO,RTRI,10,0.0,0.0,0.0
SANTA CLARA,RAPT,156,1.0,0.9871794871794872,0.038461538461538464
SANTA CLARA,RCON,6642,1.0,0.0006022282445046673,0.364649202047576
SANTA CLARA,RDUP,304,1.0,0.9638157894736842,0.003289473684210526
SANTA CLARA,RMFD,93,1.0,0.8924731182795699,0.10752688172043011
SANTA CLARA,RSFR,13837,1.0,0.00036135000361350004,0.0469032304690323
SOLANO,RCON,812,1.0,0.0,0.14285714285714285
SOLANO,RMFD,203,1.0,0.8226600985221675,0.896551724137931
SOLANO,RMSC,1,1.0,0.0,1.0
SOLANO,RSFR,8949,1.0,0.0,0.11867247737177339
SONOMA,RAPT,9,1.0,0.2222222222222222,0.0
SONOMA,RCON,867,1.0,0.0034602076124567475,0.00461361014994233
SONOMA,RDUP,163,1.0,0.018404907975460124,0.006134969325153374
SONOMA,RMOB,11,1.0,0.18181818181818182,0.0
SONOMA,RMSC,142,1.0,0.0,0.0
SONOMA,RQUA,27,1.0,0.18518518518518517,0.0
SONOMA,RSFR,4368,1.0,0.0018315018315018315,0.0025183150183150185
SONOMA,RTRI,14,1.0,0.07142857142857142,0.0
